"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 26, 2021","18.88","18.88","18.88","18.88","-","0.00%"
"Mar 25, 2021","18.88","18.26","20.17","17.77","-","6.26%"
"Mar 24, 2021","17.77","18.38","18.57","17.64","-","0.99%"
"Mar 23, 2021","17.60","17.92","17.93","17.21","-","-0.49%"
"Mar 22, 2021","17.68","19.65","19.80","17.68","-","-3.87%"
"Mar 19, 2021","18.40","18.55","21.17","18.22","-","5.34%"
"Mar 18, 2021","17.46","17.00","17.74","16.68","-","-0.62%"
"Mar 17, 2021","17.57","17.59","17.91","17.07","-","0.12%"
"Mar 16, 2021","17.55","18.07","18.20","17.29","-","-5.77%"
"Mar 15, 2021","18.62","18.43","19.52","18.25","-","-0.46%"
"Mar 12, 2021","18.71","19.62","19.89","18.68","-","-0.93%"
"Mar 11, 2021","18.88","19.46","19.64","18.86","-","-3.98%"
"Mar 10, 2021","19.67","20.34","20.36","19.37","-","-2.93%"
"Mar 09, 2021","20.26","21.18","21.39","20.18","-","-3.04%"
"Mar 08, 2021","20.90","24.04","24.34","20.84","-","-16.68%"
"Mar 05, 2021","25.08","23.82","25.15","21.78","-","13.52%"
"Mar 04, 2021","22.09","22.91","23.84","21.84","-","1.83%"
"Mar 03, 2021","21.70","20.68","23.12","20.44","-","-0.54%"
"Mar 02, 2021","21.81","21.97","22.52","21.25","-","-1.56%"
"Mar 01, 2021","22.16","23.43","23.82","22.00","-","-17.51%"
"Feb 26, 2021","26.86","25.88","28.29","24.65","-","21.57%"
"Feb 25, 2021","22.10","20.75","22.59","20.45","-","3.13%"
"Feb 24, 2021","21.43","22.71","22.89","21.25","-","-7.38%"
"Feb 23, 2021","23.13","21.44","25.14","21.43","-","6.63%"
"Feb 22, 2021","21.69","23.49","23.90","21.58","-","5.90%"
"Feb 19, 2021","20.48","22.46","22.51","20.48","-","-9.05%"
"Feb 18, 2021","22.52","20.81","23.40","20.81","-","3.18%"
"Feb 17, 2021","21.83","21.48","22.05","19.52","-","4.30%"
"Feb 16, 2021","20.93","20.24","20.98","19.85","-","3.85%"
"Feb 15, 2021","20.15","20.14","20.68","19.92","-","0.46%"
"Feb 12, 2021","20.06","20.98","22.11","20.02","-","-5.41%"
"Feb 11, 2021","21.21","21.88","21.93","21.01","-","-5.61%"
"Feb 10, 2021","22.47","20.94","24.19","20.74","-","6.37%"
"Feb 09, 2021","21.12","20.63","21.30","20.26","-","3.36%"
"Feb 08, 2021","20.44","20.97","21.23","20.17","-","-1.00%"
"Feb 05, 2021","20.64","21.15","21.47","20.39","-","-3.41%"
"Feb 04, 2021","21.37","21.88","22.10","21.00","-","-5.93%"
"Feb 03, 2021","22.72","22.58","23.11","22.25","-","-5.42%"
